title,url,sizeInBytes
Best Oxfordshire Gardens and Country Parks | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/best-oxford-gardens/,212420
Farmshop Restaurant | Rustic & Farmhouse Food | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/dine/farmshop/,236743
Ottolenghi Restaurant | Middle Eastern & Mediterranean Inspired Cuisine | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/dine/ottolenghi/,116142
Cecconi's Restaurant | Italian Cuisine | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/dine/cecconis/,227789
La Tua Pasta Restaurant | Italian Cuisine | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/dine/la-tua-pasta/,211344
Shan Shui Restaurant | Asian & Chinese Cuisine | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/dine/shan-shui/,320354
Humble Crumble at Bicester Village | Freshly Made Crumble Bundles | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/dine/humble-crumble/,114671
Discover & Dine Terms & Conditions | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/legal/discover-and-dine-package-terms-and-conditions-new/,78885
Luxury Shopping & Rail Package Terms & Conditions | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/legal/luxury-shopping-and-rail-package-terms-and-conditions/,79293
Seamless Shopping Package Terms & Conditions | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/legal/seamless-shopping-package-terms-and-conditions/,79855
The Bicester Collection | The Bicester Collection,https://www.thebicestercollection.com/en/legal/membership-terms-and-conditions-en/,91422
Bag Drop Terms and Conditions | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/legal/bag-drop-guest-terms-and-conditions/,72323
Hands Free Shopping Terms & Conditions | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/legal/hands-free-shopping-terms-and-conditions/,72362
Virtual Shopping | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/services/virtual-shopping/,442040
Virtual Shopping FAQs | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/legal/virtual-shopping-frequently-asked-questions/,70492
The season’s best gifts | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/products/me-gift-guide/,595777
The luxury beauty edit | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/products/beauty/,339744
Travel partner offers ​ | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/partners/travel/,164581
Hotels and Travel Platform partners | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/partners/hotels/,112752
Wellness and travel lifestyle must haves | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/products/fitness-and-lifestyle/,540895
Financial Services | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/partners/financial-services/,108364
Walks in Oxfordshire | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/walks-oxfordshire/,163979
Top 5 Spas in Oxfordshire | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/top-5-spas-in-oxfordshire/,204980
Restaurants in Oxford and Oxfordshire | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/best-oxfordshire-restaurants/,211365
Things to Do in Oxford with Kids | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/things-to-do-oxford-kids/,204011
Villages to Visit in the Cotswolds | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/cotswold-villages/,180673
Romantic Things To Do in Oxford for Couples | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/things-to-do-oxford-couples/,182754
6 Best Restaurants in the Cotswolds | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/best-cotswold-restaurants/,171018
Luxury travel experiences in the Cotswolds and England | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/campaign/luxury-travel-inspiration-in-the-cotswolds-this-summer/,172616
Website Privacy Notice | Legal | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/legal/website-privacy-notice/,99127
Bicester Village,https://www.thebicestercollection.com/bicester-village/en/legal/village-privacy-notice/,100177
Best Things to do in the Cotswolds for Families | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/things-to-do-cotswolds-families/,175731
Things to do in the Cotswolds for Couples | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/things-to-do-cotswolds-couples/,175132
The Bicester Collection | The Bicester Collection,https://www.thebicestercollection.com/en/legal/membership-privacy-notice-en/,93210
Cotswolds in Winter: Cosy Escapes & Festive Cheer | Bicester Village | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/visit/best-things-to-do-in-winter-cotswolds/,298519
Bicester Village,https://www.thebicestercollection.com/bicester-village/en/legal/brand-recruitment-site-privacy-notice/,93542
Accessibility | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/legal/accessibility/,78512
Car | Getting Here | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/getting-here/car/,89754
Coach | Getting Here | Bicester Village,https://www.thebicestercollection.com/bicester-village/en/getting-here/coach/,91949
